year,all,women_b_degree,men_b_degree,less_than_hs,hign_school,some_college,bachelor_degree,advanced_degree,women,men
1978,0.06,0.04,0.02,0.1,0.06,0.05,0.03,0.02,0.07,0.05
1979,0.06,0.04,0.02,0.1,0.051,0.05,0.03,0.02,0.07,0.05
1980,0.065,0.04,0.02,0.112,0.063,0.054,0.03,0.02,0.073,0.061
1981,0.079,0.04,0.028,0.13,0.075,0.06,0.03,0.02,0.08,0.071
1982,0.088,0.041,0.032,0.152,0.089,0.07,0.036,0.023,0.088,0.088
1983,0.1,0.048,0.04,0.177,0.108,0.08,0.04,0.03,0.099,0.105
1984,0.084,0.04,0.033,0.152,0.087,0.067,0.036,0.025,0.084,0.084
1985,0.071,0.036,0.03,0.14,0.076,0.06,0.03,0.02,0.078,0.07
1986,0.07,0.03,0.03,0.14,0.07,0.06,0.03,0.02,0.07,0.07
1987,0.067,0.03,0.03,0.132,0.067,0.055,0.03,0.02,0.067,0.067
1988,0.06,0.03,0.024,0.118,0.06,0.049,0.027,0.02,0.06,0.06
1989,0.051,0.03,0.022,0.11,0.052,0.04,0.029,0.02,0.052,0.05
1990,0.052,0.03,0.028,0.11,0.058,0.042,0.03,0.02,0.052,0.053
1991,0.064,0.03,0.031,0.13,0.066,0.052,0.03,0.02,0.061,0.066
1992,0.073,0.034,0.04,0.146,0.077,0.06,0.04,0.028,0.07,0.078
1993,0.073,0.038,0.04,0.148,0.078,0.06,0.038,0.03,0.07,0.077
1994,0.066,0.03,0.03,0.14,0.069,0.055,0.03,0.021,0.063,0.067
1995,0.06,0.03,0.03,0.13,0.06,0.05,0.03,0.02,0.06,0.06
1996,0.06,0.03,0.03,0.129,0.06,0.044,0.03,0.02,0.06,0.059
1997,0.05,0.027,0.023,0.12,0.058,0.04,0.024,0.02,0.05,0.05
1998,0.05,0.02,0.02,0.111,0.05,0.04,0.02,0.02,0.05,0.049
1999,0.042,0.02,0.02,0.101,0.05,0.034,0.02,0.02,0.047,0.04
2000,0.04,0.02,0.02,0.097,0.04,0.03,0.02,0.015,0.04,0.04
2001,0.042,0.023,0.022,0.1,0.048,0.032,0.023,0.017,0.042,0.042
2002,0.056,0.03,0.033,0.114,0.059,0.047,0.03,0.023,0.055,0.057
2003,0.06,0.03,0.04,0.12,0.066,0.05,0.034,0.03,0.06,0.06
2004,0.06,0.03,0.036,0.12,0.064,0.05,0.034,0.027,0.057,0.06
2005,0.052,0.03,0.03,0.115,0.06,0.048,0.03,0.02,0.05,0.053
2006,0.05,0.03,0.028,0.103,0.058,0.04,0.03,0.02,0.05,0.05
2007,0.05,0.026,0.02,0.1,0.05,0.04,0.021,0.02,0.049,0.05
2008,0.052,0.03,0.025,0.114,0.062,0.044,0.029,0.02,0.05,0.053
2009,0.078,0.042,0.045,0.159,0.094,0.071,0.044,0.031,0.07,0.084
2010,0.099,0.055,0.06,0.19,0.12,0.09,0.06,0.04,0.088,0.11
2011,0.092,0.05,0.057,0.183,0.114,0.09,0.053,0.035,0.09,0.099
2012,0.085,0.05,0.05,0.173,0.104,0.082,0.05,0.03,0.08,0.088
2013,0.079,0.047,0.044,0.159,0.097,0.073,0.046,0.03,0.076,0.08
2014,0.068,0.04,0.04,0.137,0.084,0.067,0.04,0.03,0.065,0.069
2015,0.057,0.036,0.032,0.118,0.071,0.056,0.034,0.023,0.057,0.058
2016,0.05,0.03,0.03,0.103,0.066,0.05,0.03,0.02,0.05,0.05
2017,0.048,0.03,0.03,0.097,0.06,0.042,0.03,0.02,0.047,0.049
2018,0.04,0.028,0.028,0.085,0.052,0.04,0.028,0.02,0.04,0.04
2019,0.04,0.023,0.03,0.08,0.05,0.04,0.03,0.02,0.04,0.04
2020,0.061,0.044,0.038,0.109,0.077,0.061,0.042,0.03,0.062,0.059
2021,0.07,0.053,0.048,0.117,0.09,0.075,0.051,0.033,0.069,0.069
2022,0.043,0.032,0.029,0.08,0.057,0.043,0.03,0.02,0.042,0.043
2023,0.04,0.02,0.02,0.07,0.05,0.04,0.02,0.02,0.04,0.04
